1723	-1.6	222.4619971
1722	-1.03	205.6072711
1721	-1.32	197.5201417
1720	-1.13	209.756965
1719	-1.34	228.170068
1718	-1.71	223.7131601
1717	-0.76	216.9359829
1716	-0.69	206.5593472
1715	-0.51	203.8217289
1714	-1.49	208.40535
1713	-0.82	222.9023811
1712	-0.72	216.1567209
1711	-0.84	196.4853619
1710	-0.56	188.6609247
1709	-1.08	194.9412447
1708	-0.97	215.5367584
1707	-1.09	233.2959682
1706	-1.43	235.5071835
1705	-1.69	227.4306429
1704	-0.65	216.4370699
1703	-0.81	219.7022967
1702	-1.23	205.9624435
1701	-1.53	199.0556403
1700	-1.5	214.3535525
1699	-1.72	239.0560299
1698	-1.74	241.8175457
1697	-1.45	230.4563651
1696	-1.37	232.8681212
1695	-0.89	229.2498609
1694	-1.09	216.6638186
1693	-1.04	207.4790927
1692	-0.84	205.9574398
1691	-1.35	203.0252334
1690	-1.15	199.9206678
1689	-1.08	197.130395
1688	-1.45	200.3444861
1687	-0.95	199.2487044
1686	-1.4	191.3383651
1685	-1.1	189.0590461
1684	-0.97	195.1972712
1683	-1.42	211.2658854
1682	-1.6	224.1889767
1681	-1.26	228.7196291
1680	-1.76	229.6877599
1679	-1.36	212.6232573
1678	-1.44	201.4470975
1677	-1.67	190.0779661
1676	-1.28	186.3631403
1675	-0.92	198.6040064
1674	-0.88	NaN
1673	-0.78	NaN
1672	-0.74	NaN
1671	-1.26	NaN
1670	-1.27	NaN
1669	-1.15	NaN
1668	-1.34	NaN
1667	-0.91	NaN
1666	-1.03	NaN
1665	-0.27	NaN
1664	-0.4	NaN
1663	-0.9	NaN
1662	-0.98	NaN
1661	-1.18	NaN
1660	-0.71	NaN
1659	-0.68	NaN
1658	-0.67	NaN
1657	-0.79	NaN
1656	-0.9	NaN
1655	-0.63	NaN
1654	-0.56	NaN
1653	-1.32	NaN
1652	-1.36	NaN
1651	-1.8	NaN
1650	-1.31	NaN
